origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
AUS ,4,Chestnut , Gelding,PPG,$0 ,"$9,116,600 ",5-0-2-9,0,C Fownes,Andrea Tien & Arthur Cheng,119,119,Sebring,Pinocchio,Encosta de Lago
NZ ,6,Bay , Gelding,PPG,"$4,029,000 ","$9,062,690 ",7-2-1-22,1,K H Ting,Grinders' Racing Club Syndicate,113,100,Darci Brahma,Bright Abyss,Royal Academy
AUS ,6,Chestnut , Gelding,PP,"$1,254,000 ","$4,541,600 ",3-3-2-25,0,K H Ting,Ian Cheng Ka Ho,91,90,Sebring,Jester's Girl,Commands
IRE ,6,Chestnut , Gelding,PP,"$253,000 ","$869,000 ",0-1-1-5,0,T P Yung,Peter Yip Hak Yung,90,90,Shamardal,Hazarafa,Daylami
AUS ,6,Bay , Gelding,PP,"$1,434,000 ","$3,990,090 ",4-1-0-24,1,A T Millard,Antony Ip Ren Haw,88,82,Sepoy,Nanda Kot,Encosta de Lago
IRE ,4,Bay , Colt,PP,"$253,000 ","$253,000 ",0-0-1-5,1,Y S Tsui,Yau Kwok Fai,83,86,Camelot,Madeira Mist,Grand Lodge
AUS ,5,Bay , Gelding,PPG,"$330,000 ","$3,247,090 ",4-1-0-14,0,P F Yiu,"Chan Kwok Yuen, Man Pui Kwan, Cho Kim Fu & Danny Yung Wai Man",82,79,Star Witness,Spooked,Scaredee Cat
AUS ,4,Chestnut , Gelding,PP,"$406,500 ","$2,744,250 ",1-2-3-16,2,A S Cruz,Always Exceed Racing Syndicate,79,85,Deep Field,Isabel Street,Dubawi
SAF ,4,Bay , Colt,PP,$0 ,"$126,000 ",0-0-0-4,0,A T Millard,Yeoh Saw Kheng,78,82,What A Winter,Big Mona,Yes It's True
AUS ,5,Bay , Gelding,PP,"$77,000 ","$2,274,000 ",1-0-0-13,1,T P Yung,Nicola Chu Ming Nga,76,85,Epaulette,Ouachita,Canny Lad
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D A Hayes,"Charmaine Li Chi Yin, Adrian Li Kwok Sheung & Tisa Fatima Mari Li Waung Tsen",75,75,Dream Ahead,Maxi Dress,Shamardal
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,P O'Sullivan,Leo Racing Syndicate,75,75,War Chant,Apache Point,High Chaparral
AUS ,5,Chestnut , Gelding,PPG,"$2,752,500 ","$2,752,500 ",3-2-1-11,1,K H Ting,Franklin To Tat Fai,74,46,Star Witness,Considerable,Casino Prince
IRE ,7,Chestnut , Gelding,PPG,"$1,196,000 ","$4,855,340 ",4-5-3-35,2,K W Lui,Absolute Hedge Syndicate,73,80,Sir Prancealot,Malta,Gone West
FR ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,0,P F Yiu,"Wilson Ngan Ping Shing, Katherine Ngan Mei Sze, Kanvin Ngan & Wilkie Ngan Chi Wai",73,75,Dandy Man,Desert Sprite,Tagula
AUS ,4,Chestnut , Gelding,PP,"$1,087,500 ","$1,087,500 ",1-0-0-8,1,F C Lor,Friends of Southern District Syndicate,71,71,Toronado,Push And Shove,Not A Single Doubt
AUS ,4,Bay , Gelding,PPG,"$3,225,000 ","$3,529,605 ",4-4-0-18,1,F C Lor,St Paul's Boys Syndicate,70,42,Magnus,So Enticing,Ice Point
NZ ,5,Bay , Gelding,PP,"$517,500 ","$517,500 ",0-0-3-12,1,C Fownes,Martin Siu Kim Sun,69,87,Ocean Park,Charmeuse,O'Reilly
AUS ,6,Brown , Gelding,PPG,"$735,000 ","$5,888,200 ",3-7-6-41,1,P F Yiu,Tam Kwok Cheung,68,71,All Too Hard,Cariad,Sequalo
GB ,4,Chestnut , Gelding,PP,"$225,000 ","$225,000 ",0-0-1-4,1,C Fownes,"Dr Chang Fuk To, Maria Chang Lee Ming Shum & Jonathan Chang Tien Yin",68,72,Toronado,Angelic Air,Oasis Dream
NZ ,5,Bay , Gelding,PPG,"$1,270,000 ","$4,000,540 ",5-3-3-32,1,A T Millard,Mr & Mrs Paul Kan Man Lok,67,65,Tavistock,Once More,Thorn Park
NZ ,6,Bay , Gelding,PPG,"$345,000 ","$2,425,820 ",3-1-2-14,1,C Fownes,Calvin Ng Wing Hey & Doris Ng Man Wah,66,69,Iffraaj,Eden,Zeditave
NZ ,4,Brown , Gelding,PP,$0 ,$0 ,0-0-0-3,0,D A Hayes,Pok Oi Brilliant Syndicate,64,68,Shocking,Dream Lass,Dream Well
NZ ,5,Bay , Gelding,PPG,"$570,000 ","$1,179,210 ",2-0-0-8,2,F C Lor,Victor Chan Kin Chun,61,57,Dalghar,Worship,Irish River
NZ ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-6,0,L Ho,Focuson Syndicate,60,72,O'Reilly,Music,Pins
AUS ,3,Bay , Gelding,PPG,"$570,000 ","$570,000 ",1-0-0-2,1,K H Ting,Nadine Lai,60,52,Denman,Red Magnum,Domesday
AUS ,5,Bay , Gelding,PPG,$0 ,"$2,042,250 ",2-2-0-15,2,K H Ting,Johnny Shih Jar Yi,60,67,Exceed And Excel,Dreamworker,Encosta de Lago
NZ ,4,Bay , Gelding,PPG,"$622,500 ","$1,478,295 ",2-1-0-10,1,F C Lor,Wong Kin Ting,60,59,Zacinto,Marzia,Elusive City
GB ,5,Bay , Gelding,PP,"$315,000 ","$1,192,250 ",1-0-1-19,3,D A Hayes,Anthony Cheung Hin Shun,59,71,Bated Breath,On Her Way,Medicean
AUS ,7,Bay , Gelding,PPG,"$725,000 ","$5,311,950 ",5-6-3-51,2,D E Ferraris,Good Time Syndicate,54,56,Captain Sonador,Pyramisa's Lass,Not A Single Doubt
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-7,2,Y S Tsui,ACA Friends Syndicate,53,68,Zoffany,Lavender Bay,Magnus
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,P F Yiu,Monday Syndicate,52,52,Real Impact,Wintour,Commands
NZ ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,T P Yung,B & S Syndicate,52,52,Swiss Ace,Festive Joy,Encosta de Lago
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,F C Lor,Kitty Kwok Sea Nga,52,52,All Too Hard,Extension Of Time,Dash For Cash
NZ ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,C Fownes,"Patrick Lampson Chau Tak Fai, Marcus Wong Tsz Fung & Joe Ho Pui Lung",52,52,Showcasing,The Fire Inside,Sir Percy
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,A T Millard,Patrick Fung Kim Chiu,52,52,All Too Hard,St Issey,Pentire
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,C H Yip,Thomas Lee Chung Shing,52,52,Hinchinbrook,Emerald Downs,Churchill Downs
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Benson Lo Tak Wing,52,52,Reset,Rhodamine,Success Express
AUS ,4,Bay , Gelding,PPG,"$370,000 ","$370,000 ",0-1-1-5,0,T P Yung,Peter Yip Hak Yung,52,52,Bel Esprit,Arisma,Mossman
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C W Chang,The Golden Red HK Racing Syndicate,52,52,Snitzel,Quaintly,Giant's Causeway
AUS ,3,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-2,0,A T Millard,Mr & Mrs Paul Kan Man Lok,51,52,Deep Field,Blueridge Cat,Bluegrass Cat
IRE ,7,Grey , Gelding,ISG,"$825,000 ","$3,191,875 ",3-4-2-37,1,R Gibson,Eric Ng Wing Kwong,51,50,Dark Angel,Marseille Express,Caerleon
NZ ,4,Bay , Gelding,PPG,"$290,000 ","$290,000 ",0-1-0-5,0,J Size,Vicky Tang,50,52,Per Incanto,Diamond Start,Lonhro
AUS ,4,Bay , Gelding,ISG,$0 ,$0 ,0-0-0-3,1,R Gibson,Eric Ng Wing Kwong,49,52,Fastnet Rock,Satin Robes,Ne Coupez Pas
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,1,P O'Sullivan,Patrick Wang,49,52,Highly Recommended,Queen Of The Castle,Castledale
IRE ,4,Bay , Gelding,ISG,"$35,000 ","$35,000 ",0-0-0-3,1,C W Chang,Back Room Boys Syndicate,48,52,Holy Roman Emperor,Ashtaroute,Holy Bull
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-3,0,D A Hayes,Andrea Tien & Arthur Cheng,46,52,Pride Of Dubai,La Dolce Diva,Fusaichi Pegasus
AUS ,4,Bay , Gelding,ISG,$0 ,$0 ,0-0-0-4,1,K H Ting,Lau Sak Hong & Dr Daniel Lee Tin Chak,44,52,Hinchinbrook,Issy Rose,Magic Albert
NZ ,4,Brown , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-6,1,T P Yung,Kwok Shiu Ming,43,51,Shocking,Katchme If Youcan,Giant's Causeway
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-11,2,C H Yip,Yau Tak King Syndicate,43,58,Starspangledbanner,Three Decades,Invincible Spirit
SAF ,4,Chestnut , Gelding,PPG,"$630,000 ","$697,690 ",1-0-0-12,2,A T Millard,Arthur Tsoi Tai Kwan & Johnny Chan Chi Kwong,42,46,Flower Alley,Cosima Liszt,Rich Man's Gold
AUS ,7,Bay , Gelding,PP,"$602,500 ","$3,436,455 ",4-2-3-53,1,K L Man,Chan Kwok Keung,41,52,Street Cry,Ambitious Lady,Anabaa
GB ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-6,2,J Size,Fortune Owners Syndicate,40,52,Kodiac,Framed,Elnadim
IRE ,6,Bay , Gelding,PP,"$165,000 ","$2,047,990 ",3-2-0-35,1,D E Ferraris,Waterfalls Syndicate,39,53,Equiano,Blue Dune,Invincible Spirit
AUS ,6,Brown , Gelding,PP,$0 ,"$1,149,595 ",1-0-3-26,1,P O'Sullivan,Yum Sui Sang,39,54,Sepoy,Mabsam,Stratum
SAF ,6,Brown , Gelding,PP,"$255,000 ","$366,205 ",0-1-1-19,0,D E Ferraris,Ewo Syndicate,38,44,Silvano,Nothing But Silk,Belong To Me
FR ,9,Bay , Gelding,PP,"$705,000 ","$3,691,490 ",4-2-5-62,2,L Ho,Focuson Syndicate,37,31,King's Best,Wings Of Glory,Monsun
AUS ,4,Bay , Gelding,PPG,"$255,000 ","$255,000 ",0-1-0-9,0,L Ho,All The Way Syndicate,36,47,Choisir,Crash'm,Shamardal
AUS ,5,Bay , Gelding,PPG,"$592,500 ","$592,500 ",1-1-0-12,0,Y S Tsui,"Dr Eric Li Ka Cheung, Omelia Li Kwan Chi Hing & Krizia Li Po Yee",36,34,Hussonet,Starred For Life,Encosta de Lago
AUS ,4,Bay , Gelding,PPG,$0 ,"$58,020 ",0-0-0-8,1,C H Yip,Tai Woon Shing & Victor Chan How Chung,36,45,Snitzel,Angel's Spell,Dehere
IRE ,6,Bay , Gelding,PP,"$210,000 ","$693,500 ",0-2-1-23,0,D J Hall,Frankie Ng Wai Hang & Ng Wai Hung,35,43,Hellvelyn,Coconut Kisses,Bahamian Bounty
GB ,6,Bay , Gelding,PP,$0 ,$0 ,0-0-0-12,0,T P Yung,Tormenta Syndicate,34,42,Shamardal,Angelita,Alzao
AUS ,5,Bay , Gelding,PPG,$0 ,"$178,895 ",0-0-1-9,0,C H Yip,Barry Wong Kam Keung & Wong Kam Fai,34,34,Starcraft,Stage Doll,Serheed
AUS ,4,Chestnut , Gelding,PPG,"$71,250 ","$71,250 ",0-0-0-11,1,P F Yiu,Friends of Shine Tak Syndicate,33,49,Deep Field,Charlety Star,Arena
AUS ,4,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-10,1,K H Ting,Lun Hoi Sze,31,51,Zoffany,Terhaab,More Than Ready
AUS ,5,Bay , Gelding,PPG,"$618,750 ","$831,490 ",1-2-0-15,2,T P Yung,Lee Yuen Fat,29,49,Sebring,Steps In Time,Danehill Dancer
NZ ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,A T Millard,Joey Tong Yat Sing,,,Ocean Park,Warm Whispers,Stravinsky
AUS ,5,Grey , Gelding,PPG,"$2,127,500 ","$9,549,100 ",5-0-3-21,1,F C Lor,Ryan Wong Man Yeung & Roland Wong Ka Yeung,112,112,Exceed And Excel,De Groove,Dehere
AUS ,5,Chestnut , Gelding,PPG,"$4,206,500 ","$8,114,700 ",6-3-3-21,1,J Size,Junbon Chan Chun Bong,110,87,Stratum,Easy Step,Arena
AUS ,5,Brown , Gelding,PPG,"$3,431,500 ","$11,426,400 ",7-4-3-26,1,A S Cruz,Wong Chin Leung,108,96,So You Think,Gladwell,Anabaa
BRZ ,5,Chestnut , Gelding,PP,"$2,123,000 ","$6,512,000 ",2-4-0-21,1,C S Shum,Yue Yun Hing,101,98,Setembro Chove,Londrinita,Fahim
IRE ,4,Chestnut , Gelding,PP,"$5,784,000 ","$6,190,000 ",2-3-2-11,1,A S Cruz,Beauty Syndicate,98,81,Free Eagle,Pale Orchid,Invincible Spirit
NZ ,6,Chestnut , Gelding,PPG,"$1,247,000 ","$7,080,700 ",6-3-3-21,0,P O'Sullivan,Z Power Syndicate,95,93,Sakhee's Secret,Jan Valachi,Kingdom Bay
AUS ,6,Bay , Gelding,PP,"$1,914,000 ","$5,925,950 ",2-6-5-23,0,K H Ting,Ballistic Racing Syndicate,93,88,Commands,Adulterer,Traditionally
GB ,4,Bay , Gelding,PP,"$132,000 ","$132,000 ",0-0-0-5,1,A S Cruz,Siu Pak Kwan,86,90,Dansili,Fantasia,Sadler's Wells
NZ ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,J Size,Edmond Siu Kim Ping,86,86,Darci Brahma,Star Guest,Pentire
IRE ,7,Bay , Gelding,PP,$0 ,"$2,272,800 ",2-1-2-9,0,C Fownes,Mr & Mrs Kenneth Au-Yeung Wing,85,85,Requinto,Talkin Kate,Talkin Man
USA ,6,Bay , Gelding,PP,"$907,500 ","$3,208,000 ",3-1-1-21,0,D E Ferraris,Mr & Mrs Peter P C Fan,84,82,Mizzen Mast,Solo Piano,Empire Maker
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-2,0,A S Cruz,Eleanor Kwok Law Kwai Chun & Patrick Kwok Ho Chuen,80,82,Sebring,Impressive Jeuney,Jeune
SAF ,6,Bay , Gelding,PP,"$574,000 ","$3,372,500 ",3-1-1-23,1,D E Ferraris,"Peter P C Fan, Montgomery Ho Shun Wah & Dr Michael Mok Hing Hung",78,85,Var,Frequent Flyer,Silvano
AUS ,5,Brown , Gelding,PP,"$264,000 ","$3,621,000 ",1-1-0-20,1,J Size,Patrick Kwok Ho Chuen,78,101,Fiorente,Rosa Perlato,Encosta de Lago
AUS ,5,Bay , Gelding,PP,"$855,000 ","$2,301,000 ",2-0-1-22,1,J Size,Kwok Siu Ming,77,81,Helmet,Syncopated,Lonhro
AUS ,5,Bay , Gelding,PP,"$907,500 ","$2,234,250 ",1-2-3-13,1,F C Lor,Cheng Siu Kwong,75,70,Love Conquers All,Orient Success,Success Express
NZ ,4,Bay , Gelding,PPG,"$2,215,000 ","$2,978,930 ",3-2-3-11,2,D J Hall,Ngai Man & Amy Wang Hong,74,58,Tavistock,Prestigious Miss,Written Tycoon
AUS ,5,Bay , Gelding,PP,"$907,500 ","$2,734,500 ",3-0-0-19,0,K H Ting,Hong Kong Young Owner Racing Syndicate,73,71,Medaglia d'Oro,Don't Blink,Redoute's Choice
AUS ,6,Chestnut , Gelding,PP,"$2,032,500 ","$5,486,385 ",3-5-10-37,1,D J Whyte,Mr & Mrs Yan Qing Lin,73,68,Moshe,Divine Lady,Skalato
SAF ,4,Bay , Gelding,PP,"$330,000 ","$330,000 ",0-1-0-2,0,D E Ferraris,Steven Hui Seaway,72,70,Bold Silvano,Bretton Woods,Casey Tibbs
AUS ,4,Bay , Gelding,PP,"$225,000 ","$225,000 ",0-0-1-2,2,J Size,Beauty Fit Syndicate,72,72,Ilovethiscity,Feesforus,Legal Opinion
AUS ,4,Chestnut , Gelding,PP,"$660,000 ","$660,000 ",0-2-0-2,1,C Fownes,William Sze Loong Yau,72,68,Deep Field,Danica,Sebring
IRE ,6,Bay , Gelding,PP,$0 ,"$1,877,750 ",2-0-0-19,0,K L Man,Beauty Team Syndicate,71,85,Kodiac,Hurricane Emma,Mr Greeley
GB ,5,Bay , Gelding,ISG,"$2,325,000 ","$3,021,240 ",4-1-1-15,0,A S Cruz,Beauty Family Syndicate,71,48,Dark Angel,Handana,Desert Style
AUS ,6,Bay , Gelding,PP,"$52,500 ","$3,438,750 ",2-2-2-36,2,A S Cruz,Kwok Siu Ming,68,79,Duporth,Graces Spirit,Flying Spur
AUS ,5,Bay , Gelding,PPG,"$1,080,000 ","$4,011,015 ",3-5-2-23,2,D E Ferraris,Liu Shun Hong,68,70,Ambidexter,Lifting,Zabeel
IRE ,7,Bay , Gelding,PPG,"$592,500 ","$3,676,100 ",1-7-5-29,1,T P Yung,Beautiful People Syndicate,67,69,Footstepsinthesand,Lucy Diamonds,Orpen
AUS ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,0,C Fownes,Richard Lo Chi Ho & The Hon A E Razack,66,66,Hinchinbrook,Noanoa,Reset
IRE ,7,Bay , Gelding,PP,"$765,000 ","$1,692,950 ",0-2-5-21,1,P O'Sullivan,Leo Racing Syndicate,64,67,Power,Biz Bar,Tobougg
NZ ,5,Bay , Gelding,PP,"$1,255,000 ","$1,255,000 ",2-0-1-12,1,D J Hall,Mr & Mrs Colin Lo Chor Cheong,64,59,Tavistock,Princess Of Wales,Thorn Park
AUS ,5,Brown , Gelding,PP,"$330,000 ","$2,483,250 ",1-2-5-22,1,F C Lor,Eleanor Kwok Law Kwai Chun,63,73,All American,Bubbly Duchess,Duke Of Marmalade
AUS ,6,Bay , Gelding,PP,"$1,036,250 ","$2,460,880 ",2-3-1-33,1,W Y So,Chan Man Fat,60,57,Show A Heart,Exedra,Redoute's Choice
IRE ,4,Chestnut , Gelding,PP,"$87,500 ","$87,500 ",0-0-0-9,1,K H Ting,"Wong Chor Kei, Lau Siu Wai, Raymond Wong Man Piu & Ryan Wong Man Kwong",57,70,Gleneagles,Pearl Grey,Gone West
AUS ,5,Brown , Gelding,PP,"$790,000 ","$823,845 ",1-1-0-16,2,R Gibson,Mr & Mrs Andrew Wong Kwok Kin,57,54,Uncle Mo,Redtruth,Testa Rossa
AUS ,7,Bay , Gelding,PP,$0 ,"$3,903,900 ",4-0-1-38,0,C S Shum,Mr & Mrs Hans Michael Jebsen,56,73,Charge Forward,Le Sillage,Encosta de Lago
IRE ,5,Chestnut , Gelding,PP,"$290,000 ","$630,750 ",0-1-1-15,1,A S Cruz,Lianne Lam & Matthew Lam Kin Hong,55,65,Zoffany,Ban Draiocht,Desert Sun
AUS ,5,Bay , Gelding,PPG,"$570,000 ","$3,040,745 ",4-3-2-30,1,A S Cruz,"Wong Wing Keung, Yeung Yuk Ying & Mary Wong Pak Ka",55,54,Reward For Effort,Stream Royale,Royal Academy
NZ ,4,Chestnut , Gelding,PPG,"$1,355,000 ","$1,562,905 ",2-0-0-16,2,P F Yiu,Kams Lam Kam Chin,54,42,Dissident,Tempting Delight,Northern Meteor
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,F C Lor,Daysie Tsoi Yik Tung,52,52,Sweet Orange,Sannah Rose,Golan
IRE ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D J Whyte,Benjamin William Keswick,52,52,Dandy Man,Heard A Whisper,New Approach
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Helena Wai Suk Chong & Cheung Kwok Wing,52,52,Sebring,Liesele,Exceed And Excel
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K H Ting,Wu Chak Man & Ng Chit Yam,52,52,Power,La Vienne,Thorn Park
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,C H Yip,Toby Lam Kai To & John Chan Siu Tan,52,52,Spirit Of Boom,Proud As Punch,Tycoon Ruler
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,W Y So,Mr & Mrs Michael Lau Chi Kan,52,52,Artie Schiller,Boom Time Savings,Secret Savings
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,A T Millard,VC Racing Syndicate,52,52,Vancouver,Moonlight Bay,Catbird
NZ ,5,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C H Yip,Alfred Chong Kin Ngai,52,52,Rip Van Winkle,Many Dreams,Zabeel
IRE ,6,Bay , Gelding,ISG,"$1,791,250 ","$2,138,030 ",3-1-3-22,1,W Y So,Lee Ching Yiu,51,32,Havana Gold,Chanter,Lomitas
AUS ,4,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-3,1,J Size,Melody Kwok Sze Wai,50,52,Bianconi,Marana Majic,Scenic
AUS ,3,Bay , Gelding,PPG,"$335,000 ","$335,000 ",0-1-1-5,1,K W Lui,Adrian Siu Chin Wan,49,52,Kermadec,Promenades,Lonhro
NZ ,5,Bay , Gelding,PP,"$290,000 ","$456,750 ",0-0-3-12,2,P F Yiu,Optical Industry Group Syndicate,49,61,O'Reilly,Shemiyra,In The Wings
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-4,2,A S Cruz,Wong Wing Keung & Yeung Yuk Ying,47,52,Toronado,Canasta Queen,Not A Single Doubt
AUS ,5,Bay , Gelding,PPG,"$700,000 ","$1,975,870 ",3-0-1-26,1,Y S Tsui,Michael Ng Chun Ho & Jenny Ng Wing Sum,45,50,Not A Single Doubt,Frenchs Forest,French Deputy
NZ ,5,Brown , Gelding,PPG,"$600,000 ","$1,890,140 ",1-3-4-25,2,C Fownes,"Mr & Mrs Edward Hung, Grace Hung and Doris Hung",44,46,Pins,Genius,Savabeel
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-5,1,T P Yung,Mr & Mrs Jimmy Tang,43,52,Hinchinbrook,Classic Guitar,Lonhro
AUS ,4,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-5,1,C H Yip,Bond Uni Alumni Syndicate,40,47,Starcraft,Savalook,Savabeel
IRE ,8,Chestnut , Gelding,PP,$0 ,"$2,826,745 ",3-3-2-47,1,C W Chang,Wong Wing Keung,40,56,Roderic O'Connor,Biz Bar,Tobougg
NZ ,5,Bay , Gelding,PPG,"$686,250 ","$795,000 ",1-0-4-18,1,L Ho,Felicia Kathy Louey,36,35,Redwood,Poetic Licence,Darci Brahma
IRE ,8,Bay , Gelding,PP,"$26,250 ","$6,941,253 ",4-7-3-74,0,C W Chang,Lau Ng Mui Chu,33,51,Big Bad Bob,Dreamaway,Oasis Dream
NZ ,4,Bay , Gelding,PPG,"$95,000 ","$95,000 ",0-0-0-10,2,A S Cruz,Mr & Mrs Matthew Lam Kin Hong,32,51,Declaration Of War,Flying Orca,Perfectly Ready
NZ ,7,Bay , Gelding,PP,"$566,250 ","$1,062,875 ",1-1-4-34,1,D E Ferraris,Y Lot Syndicate,22,31,Echoes Of Heaven,Flightime,Yamanin Vital
GB ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,T P Yung,"Ginny Man Wing Yee, Susan Wong Suk Ching, Even Lum Chun Yip & Derrick Liu Lap Wai",,,Slade Power,Bogini,Holy Roman Emperor
AUS ,4,Bay , Rig,PP,"$6,273,500 ","$11,590,000 ",4-5-1-16,1,A S Cruz,Yeung Kin Man,114,99,Exceed And Excel,Girl Hussler,Hussonet
AUS ,5,Bay , Gelding,PPG,"$3,623,750 ","$14,512,500 ",7-3-3-22,1,J Size,"Dr & Mrs Arthur Leung, Elaine Leung and Angela Leung",113,108,Hinchinbrook,Greta's Yarn,Redoute's Choice
NZ ,5,Bay , Gelding,PP,"$4,191,500 ","$8,026,500 ",2-3-2-13,1,C Fownes,"Mr & Mrs Hamen Fan Shi Hoo, Alex Fan Chen Yen and Christina Fan Chen Mun",112,97,Redwood,Spirit Of Sandford,Kilimanjaro
AUS ,5,Grey , Gelding,PP,$0 ,$0 ,0-0-0-1,0,C Fownes,Mr & Mrs Boniface Ho Ka Kui,110,110,Not A Single Doubt,Pinocchio,Encosta de Lago
SAF ,6,Brown , Gelding,PP,"$400,000 ","$7,766,800 ",2-5-0-23,1,P O'Sullivan,Chef's Table Syndicate,102,109,Silvano,Valdovino,Al Mufti
AUS ,4,Bay , Gelding,PPG,"$5,001,000 ","$8,312,185 ",6-3-4-21,1,A S Cruz,Charmian Liang Shun Ming,97,79,Fastnet Rock,Radharcnafarraige,Distorted Humor
NZ ,5,Chestnut , Gelding,PPG,"$1,507,000 ","$3,857,500 ",4-0-1-11,0,W Y So,Li Fung Lok,93,83,Per Incanto,Grace And Eva,Stravinsky
IRE ,4,Bay , Gelding,PP,"$4,054,000 ","$4,054,000 ",3-0-0-5,2,C S Shum,Charity Racing Syndicate,92,68,War Command,Patuca,Teofilo
NZ ,6,Bay , Gelding,ISG,"$1,910,500 ","$5,298,030 ",5-3-3-18,0,A S Cruz,"Henry Cheung Kun Tong, Erick Cheung Ka Shing & Ryan Edward Tse",92,81,Savabeel,Forty Two Below,O'Reilly
AUS ,4,Chestnut , Gelding,PP,"$3,173,000 ","$4,789,750 ",2-2-4-14,1,A S Cruz,Chloe Liang Shun Yin,88,80,Deep Field,Vormista,Testa Rossa
NZ ,3,Brown , Gelding,PPG,"$2,280,000 ","$2,280,000 ",3-0-0-3,2,J Size,Mr & Mrs Chadwick Mok Cham Hung,88,52,Sacred Falls,Fabulist,Savabeel
IRE ,6,Chestnut , Gelding,PP,"$2,230,000 ","$4,378,000 ",2-4-4-27,0,C S Shum,Ng Sun Wah & Chan Wo Ping,87,78,Harbour Watch,Princess Mood,Muhtarram
USA ,4,Bay , Gelding,PP,"$105,000 ","$105,000 ",0-0-0-2,1,D J Whyte,Leung Lun Ping,87,89,American Pharoah,Up,Galileo
IRE ,3,Brown , Colt,PP,$0 ,$0 ,0-0-0-0,0,A T Millard,Yue Yun Hing,85,85,Kodi Bear,Arbeel,Royal Applause
AUS ,4,Bay , Gelding,PP,"$616,000 ","$616,000 ",0-1-0-5,1,D A Hayes,Charles Chan Sing Chuk,85,85,Fastnet Rock,Diademe,Savabeel
AUS ,4,Chestnut , Gelding,PP,"$2,012,000 ","$2,012,000 ",1-3-0-12,2,P F Yiu,Justin Li Cheng Yan,85,70,Stratum,Wobbly Boots,Show A Heart
AUS ,4,Bay , Gelding,PP,"$1,762,500 ","$1,762,500 ",2-0-0-7,0,F C Lor,Elizabeth Fan Chi Fong,82,72,Star Witness,Askari,Zabeel
AUS ,7,Brown , Gelding,PPG,"$1,410,000 ","$6,039,480 ",6-5-2-35,1,C S Shum,Eighth Floor Syndicate,79,72,Rebel Raider,Callipygian,Dangerous
IRE ,4,Chestnut , Gelding,PP,"$502,500 ","$502,500 ",0-1-1-5,2,A S Cruz,Chester Liang Jun Yu,77,80,Rock Of Gibraltar,Bulrushes,Byron
AUS ,4,Bay , Gelding,PP,"$1,196,250 ","$1,196,250 ",1-1-0-3,0,C Fownes,Capital Reserve Syndicate,77,69,Danerich,Capital Growth,Brocco
