origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
AUS ,4,Bay , Gelding,PP,"$1,500,000 ","$2,072,750 ",1-2-2-12,2,D A Hayes,Metro Express Syndicate,70,70,Fastnet Rock,Scandinavia,Snippets
AUS ,5,Brown , Gelding,PP,$0 ,"$1,972,000 ",2-1-0-23,2,A S Cruz,Alan Lau Hok Lun & Fione Yip Sze Pui,69,80,Jet Spur,Besame Mucho,Encosta de Lago
AUS ,3,Brown , Gelding,PP,$0 ,$0 ,0-0-0-0,0,K H Ting,Alright Racing Syndicate,68,68,Smart Missile,Stage Performer,Encosta de Lago
AUS ,3,Bay , Rig,PP,$0 ,$0 ,0-0-0-0,0,A S Cruz,Gan Wee Sean,68,68,Headwater,Holder Sunset,Shamardal
AUS ,3,Bay , Gelding,PP,"$52,500 ","$52,500 ",0-0-0-2,1,P F Yiu,Surplus Horse Racing Syndicate,67,69,I Am Invincible,Oasis Bloom,Al Maher
IRE ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-2,2,K W Lui,Peter Chu Ka Lok & Dr Christopher Chu Ping Wing,67,69,Pivotal,Adore,Oasis Dream
NZ ,4,Bay , Gelding,PPG,"$1,643,000 ","$1,701,020 ",2-0-2-11,2,D J Hall,Sammy Sean Lee,65,52,Burgundy,Celtic Dream,Casual Lies
NZ ,4,Bay , Gelding,PP,"$1,030,000 ","$1,167,750 ",1-0-3-13,2,C W Chang,Herbert Cheung Po Lun,65,66,El Roca,Go Kate Go,More Than Ready
AUS ,5,Bay , Gelding,PP,"$90,000 ","$1,170,250 ",1-0-1-12,2,T P Yung,Victor Chan Wai Lap,64,68,Redoute's Choice,Jeu de Cartes,Stravinsky
AUS ,5,Grey , Gelding,PPG,$0 ,"$2,882,090 ",2-5-0-19,2,A T Millard,Meridian Racing Syndicate,64,76,Unencumbered,More Than Pronto,More Than Ready
